,ticker,name,calendardate,sector,industry,revenue,fcfmargin,eps,oppmargin,profitmargin,netmargin,pe,roc,roe
21383,CEG,CONSTELLATION ENERGY CORP,2022-09-30,Utilities,Utilities - Renewable,6051000000.0,-0.24524871921996363,-0.57,-0.006775739547182284,-0.0310692447529334,0.03668815071888944,-180.068,-0.011650966782350025,-0.017436468187720273
21381,CEG,CONSTELLATION ENERGY CORP,2022-03-31,Utilities,Utilities - Renewable,5591000000.0,0.16830620640314792,0.32,0.07780361294938294,0.01895904131640136,0.1250223573600429,26.477,0.006255163460403635,0.0095263772804889
21382,CEG,CONSTELLATION ENERGY CORP,2022-06-30,Utilities,Utilities - Renewable,5465000000.0,-0.08746569075937786,-0.34,0.049771271729185725,-0.02031107044830741,0.10082342177493138,29.048,-0.0069881641903802565,-0.010097334667515692
11863,AWK,AMERICAN WATER WORKS COMPANY INC,2021-09-30,Utilities,Utilities - Regulated Water,1092000000.0,0.026556776556776556,1.53,0.4532967032967033,0.25457875457875456,0.6007326007326007,40.21,0.015417891409239643,0.0404893678997961
11884,AWK,AMERICAN WATER WORKS COMPANY INC,2022-09-30,Utilities,Utilities - Regulated Water,1082000000.0,-0.06469500924214418,1.63,0.46395563770794823,0.2744916820702403,0.6155268022181146,17.952,0.01509299725581868,0.0382830626450116
11881,AWK,AMERICAN WATER WORKS COMPANY INC,2020-09-30,Utilities,Utilities - Regulated Water,1079000000.0,-0.011121408711770158,1.46,0.468952734012975,0.24467099165894346,0.6116774791473587,39.657,0.015268941584731058,0.04054054054054054
11877,AWK,AMERICAN WATER WORKS COMPANY INC,2019-09-30,Utilities,Utilities - Regulated Water,1013000000.0,0.03257650542941757,1.33,0.46791707798617965,0.23692003948667326,0.6100691016781836,35.342,0.015551091816237931,0.03877221324717286
11883,AWK,AMERICAN WATER WORKS COMPANY INC,2021-06-30,Utilities,Utilities - Regulated Water,999000000.0,-0.0940940940940941,1.14,0.41041041041041043,0.2072072072072072,0.5685685685685685,37.343,0.011648846370287,0.03094170403587444
11873,AWK,AMERICAN WATER WORKS COMPANY INC,2018-09-30,Utilities,Utilities - Regulated Water,976000000.0,0.07684426229508197,1.04,0.41598360655737704,0.1915983606557377,0.6004098360655737,34.973,0.013109927089175548,0.031911262798634814
11864,AWK,AMERICAN WATER WORKS COMPANY INC,2021-12-31,Utilities,Utilities - Regulated Water,951000000.0,-0.19558359621451105,3.56,0.31545741324921134,0.6782334384858044,0.48370136698212407,27.146,0.03512497957850025,0.08838037818580433
11866,AWK,AMERICAN WATER WORKS COMPANY INC,2022-06-30,Utilities,Utilities - Regulated Water,937000000.0,-0.5955176093916755,1.2,0.4247598719316969,0.23265741728922093,0.5987193169690501,20.816,0.011311160691122295,0.02879788639365918
11869,AWK,AMERICAN WATER WORKS COMPANY INC,2017-09-30,Utilities,Utilities - Regulated Water,936000000.0,0.12393162393162394,1.14,0.5267094017094017,0.2168803418803419,0.655982905982906,27.32,0.015628608822850103,0.0367886915549112
11880,AWK,AMERICAN WATER WORKS COMPANY INC,2020-06-30,Utilities,Utilities - Regulated Water,931000000.0,-0.14822771213748656,0.97,0.4167561761546724,0.18904403866809882,0.5800214822771214,36.505,0.0103505057633498,0.027769012306721363
11882,AWK,AMERICAN WATER WORKS COMPANY INC,2020-12-31,Utilities,Utilities - Regulated Water,923000000.0,-0.11159263271939328,0.8,0.3694474539544962,0.1570964247020585,0.5352112676056338,39.238,0.00829566908862063,0.022466687325689495
11878,AWK,AMERICAN WATER WORKS COMPANY INC,2019-12-31,Utilities,Utilities - Regulated Water,902000000.0,-0.1674057649667406,0.54,0.37583148558758317,0.10864745011086474,0.5432372505543237,35.762,0.006254786826653051,0.01601045580787453
11862,AWK,AMERICAN WATER WORKS COMPANY INC,2021-03-31,Utilities,Utilities - Regulated Water,888000000.0,-0.20382882882882883,0.73,0.35135135135135137,0.14977477477477477,0.5281531531531531,37.885,0.007634464152459675,0.020203554610360018
11876,AWK,AMERICAN WATER WORKS COMPANY INC,2019-06-30,Utilities,Utilities - Regulated Water,882000000.0,-0.10884353741496598,0.94,0.42403628117913833,0.1927437641723356,0.5782312925170068,35.98,0.011188627089640647,0.02820640451302472
11872,AWK,AMERICAN WATER WORKS COMPANY INC,2018-06-30,Utilities,Utilities - Regulated Water,853000000.0,-0.10316529894490035,0.9,0.4349355216881594,0.1899179366940211,0.5920281359906213,32.344,0.011488546911566555,0.028242677824267783
